		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Jasper County	0.484	0.282	0.149	0.046	0.027	0.007	0.001	0.002	0.001	0.001	0	0	#N/A
	Jeff Davis County	0.469	0.237	0.16	0.085	0.03	0.009	0.006	0.001	0.001	0	0	0.001	#N/A
	Jefferson County	0.478	0.282	0.151	0.053	0.023	0.009	0.001	0	0	0.001	0.001	0.001	#N/A
	Jenkins County	0.518	0.227	0.163	0.048	0.025	0.008	0.007	0.001	0	0.001	0	0.001	#N/A
	Johnson County	0.536	0.211	0.138	0.087	0.019	0.003	0.003	0.003	0	0	0	0.001	#N/A
	Jones County	0.49	0.216	0.156	0.091	0.03	0.008	0.003	0.003	0.003	0	0.001	0.001	#N/A
	Lamar County	0.455	0.236	0.146	0.114	0.032	0.007	0.002	0.003	0.003	0.001	0.001	0	#N/A
	Lanier County	0.569	0.218	0.123	0.056	0.027	0.004	0	0.001	0.001	0	0	0.001	#N/A
	Laurens County	0.444	0.224	0.184	0.101	0.033	0.007	0.002	0.001	0.001	0	0.001	0.001	#N/A
	Lee County	0.513	0.239	0.139	0.065	0.031	0.007	0.003	0.002	0.001	0.001	0	0	#N/A
	Liberty County	0.458	0.222	0.194	0.066	0.044	0.009	0.001	0.003	0.001	0.001	0	0.001	#N/A
	Lincoln County	0.442	0.307	0.157	0.07	0.013	0.007	0.001	0	0.002	0.001	0.001	0.001	#N/A
	Long County	0.553	0.217	0.124	0.069	0.017	0.011	0.002	0.003	0.002	0	0.001	0.001	#N/A
	Lowndes County	0.442	0.266	0.168	0.08	0.033	0.006	0.002	0.001	0.001	0.001	0	0	#N/A
	Lumpkin County	0.416	0.279	0.174	0.069	0.051	0.004	0.002	0.003	0.001	0.001	0	0	#N/A
	Macon County	0.504	0.197	0.164	0.083	0.034	0.011	0.001	0.002	0.004	0	0	0	#N/A
	Madison County	0.445	0.286	0.154	0.072	0.027	0.008	0.003	0.003	0.001	0.001	0	0	#N/A
	Marion County	0.536	0.259	0.108	0.062	0.017	0.007	0.006	0.002	0	0	0.001	0.002	#N/A
	Mcduffie County	0.407	0.33	0.159	0.064	0.028	0.008	0.002	0.001	0	0.001	0.001	0	#N/A
	Mcintosh County	0.54	0.187	0.15	0.053	0.048	0.013	0.005	0.002	0.003	0	0	0.001	#N/A
	Meriwether County	0.481	0.238	0.165	0.075	0.035	0.003	0	0.002	0.001	0	0.001	0	#N/A
	Miller County	0.603	0.165	0.151	0.046	0.016	0.012	0.002	0.002	0.002	0	0	0	#N/A
	Mitchell County	0.547	0.194	0.131	0.071	0.039	0.011	0.005	0.001	0.001	0.001	0	0	#N/A
	Monroe County	0.409	0.263	0.183	0.087	0.048	0.005	0.002	0.001	0	0	0	0.001	#N/A
	Montgomery County	0.489	0.235	0.137	0.102	0.024	0.004	0.002	0.005	0.001	0	0	0	#N/A
	Morgan County	0.399	0.277	0.21	0.057	0.044	0.005	0.002	0.001	0.001	0.001	0.001	0	#N/A
	Murray County	0.572	0.191	0.125	0.076	0.022	0.006	0.003	0.002	0.001	0	0.001	0	#N/A
	Muscogee County	0.344	0.27	0.221	0.076	0.072	0.009	0.002	0.002	0.002	0.001	0	0.001	#N/A
	Newton County	0.44	0.273	0.19	0.058	0.028	0.005	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Oconee County	0.314	0.257	0.282	0.063	0.073	0.005	0.001	0.002	0.001	0.001	0	0	#N/A
	Oglethorpe County	0.439	0.273	0.157	0.07	0.041	0.011	0.002	0.004	0.002	0.001	0	0	#N/A
	Paulding County	0.414	0.281	0.209	0.057	0.027	0.005	0.002	0.003	0.001	0	0	0	#N/A
	Peach County	0.434	0.26	0.169	0.085	0.041	0.004	0.003	0.001	0.001	0.001	0	0	#N/A
	Pickens County	0.481	0.225	0.19	0.049	0.044	0.005	0.002	0.002	0.001	0	0	0	#N/A
	Pierce County	0.404	0.312	0.179	0.067	0.021	0.009	0.003	0.003	0.001	0	0	0	#N/A
	Pike County	0.438	0.271	0.154	0.102	0.023	0.006	0.002	0.003	0.001	0.001	0	0	#N/A
	Polk County	0.556	0.18	0.156	0.065	0.029	0.005	0.004	0.001	0.001	0	0.001	0	#N/A
	Pulaski County	0.504	0.177	0.196	0.068	0.035	0.01	0.006	0.001	0.003	0	0	0	#N/A
	Putnam County	0.492	0.185	0.21	0.061	0.04	0.005	0.003	0.001	0	0.001	0.001	0	#N/A
	Quitman County	0.572	0.135	0.148	0.079	0.039	0.023	0.003	0	0	0	0	0	#N/A
	Rabun County	0.459	0.19	0.204	0.073	0.056	0.009	0.004	0.002	0.002	0.002	0	0	#N/A
	Randolph County	0.587	0.177	0.113	0.071	0.023	0.021	0.001	0.001	0	0	0.001	0.001	#N/A
	Richmond County	0.368	0.285	0.217	0.075	0.043	0.005	0.001	0.002	0.001	0	0	0	#N/A
	Rockdale County	0.41	0.253	0.232	0.053	0.039	0.006	0.002	0.001	0.001	0.001	0	0	#N/A
	Schley County	0.428	0.288	0.142	0.096	0.03	0.009	0.004	0	0.001	0	0	0.001	#N/A
	Screven County	0.458	0.217	0.187	0.082	0.041	0.01	0.001	0	0.001	0	0.001	0.002	#N/A
	Seminole County	0.538	0.188	0.176	0.056	0.026	0.007	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Spalding County	0.427	0.245	0.194	0.078	0.042	0.007	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Stephens County	0.415	0.212	0.221	0.089	0.038	0.018	0.002	0.001	0.002	0.001	0	0.001	#N/A
	Stewart County	0.559	0.223	0.097	0.058	0.037	0.005	0.005	0.01	0.003	0	0	0	#N/A
	Sumter County	0.459	0.229	0.182	0.078	0.038	0.006	0.003	0.001	0.001	0.001	0	0.001	#N/A
	Talbot County	0.535	0.235	0.106	0.078	0.035	0.003	0.001	0.006	0	0	0	0	#N/A
	Taliaferro County	0.518	0.244	0.122	0.041	0.051	0.025	0	0	0	0	0	0	#N/A
	Tattnall County	0.426	0.284	0.179	0.065	0.033	0.009	0.003	0	0.001	0	0	0	#N/A
	Taylor County	0.517	0.192	0.133	0.116	0.027	0.008	0.001	0	0.002	0.002	0.001	0.002	#N/A
	Telfair County	0.515	0.174	0.141	0.109	0.042	0.007	0.008	0.001	0.001	0.001	0	0	#N/A
	Terrell County	0.559	0.214	0.119	0.061	0.026	0.007	0.006	0.003	0.003	0	0	0.001	#N/A
	Thomas County	0.4	0.235	0.197	0.101	0.048	0.011	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Tift County	0.478	0.228	0.163	0.077	0.04	0.008	0.004	0.001	0.001	0	0.001	0	#N/A
	Toombs County	0.417	0.237	0.2	0.095	0.033	0.009	0.004	0.001	0.001	0	0	0	#N/A
	Towns County	0.46	0.2	0.206	0.067	0.057	0.003	0.001	0.003	0.001	0.001	0	0	#N/A
	Treutlen County	0.542	0.228	0.12	0.083	0.011	0.007	0.004	0	0.001	0	0.001	0.001	#N/A
	Troup County	0.434	0.234	0.187	0.087	0.041	0.007	0.004	0.001	0.002	0.001	0.001	0	#N/A
	Turner County	0.569	0.216	0.104	0.072	0.027	0.004	0.002	0.004	0.002	0	0	0	#N/A
	Twiggs County	0.551	0.247	0.115	0.046	0.032	0.003	0.002	0.002	0.001	0.001	0	0.001	#N/A
	Union County	0.456	0.239	0.176	0.07	0.046	0.006	0.002	0.002	0.001	0.001	0	0	#N/A
	Upson County	0.487	0.204	0.159	0.109	0.028	0.007	0.003	0.002	0.001	0	0.001	0	#N/A
	Walker County	0.422	0.211	0.216	0.097	0.041	0.005	0.003	0.002	0.002	0	0.001	0	#N/A
	Walton County	0.416	0.309	0.181	0.055	0.028	0.004	0.003	0.002	0.001	0.001	0	0	#N/A
	Ware County	0.434	0.306	0.145	0.069	0.027	0.009	0.004	0.004	0.001	0.001	0	0	#N/A
	Warren County	0.471	0.288	0.152	0.055	0.021	0.003	0.002	0.003	0.002	0.003	0	0	#N/A
	Washington County	0.442	0.211	0.218	0.08	0.034	0.007	0.003	0.001	0.002	0.001	0	0.002	#N/A
	Wayne County	0.457	0.261	0.15	0.075	0.037	0.009	0.004	0.003	0.001	0	0	0.001	#N/A
	Webster County	0.518	0.23	0.125	0.065	0.038	0.005	0.008	0.003	0.008	0	0	0	#N/A
	Wheeler County	0.501	0.205	0.142	0.108	0.027	0.007	0.005	0.002	0.002	0	0	0.002	#N/A
	White County	0.453	0.252	0.175	0.07	0.039	0.004	0.004	0.002	0.001	0.001	0	0	#N/A
	Whitfield County	0.466	0.18	0.21	0.089	0.044	0.006	0.002	0.003	0.001	0	0	0	#N/A
	Wilcox County	0.552	0.268	0.095	0.054	0.016	0.006	0.005	0.002	0.002	0	0	0	#N/A
	Wilkes County	0.486	0.22	0.185	0.063	0.032	0.006	0.003	0.002	0.001	0.002	0.001	0.001	#N/A
	Wilkinson County	0.476	0.259	0.129	0.09	0.026	0.008	0.006	0.003	0.001	0	0.001	0	#N/A
	Worth County	0.552	0.243	0.095	0.064	0.027	0.011	0.003	0.002	0.001	0.001	0	0	#N/A
Massachusetts	Barnstable County	0.516	0.09	0.157	0.031	0.177	0.013	0.001	0.002	0.004	0.002	0.001	#N/A	0.005
	Berkshire County	0.433	0.127	0.192	0.048	0.16	0.011	0.003	0.004	0.004	0.001	0.001	#N/A	0.006
	Bristol County	0.549	0.103	0.164	0.032	0.13	0.007	0.001	0.003	0.002	0.002	0.001	#N/A	0.005
	Dukes County	0.484	0.096	0.15	0.029	0.198	0.018	0.003	0.003	0.003	0.003	0	#N/A	0.01
	Essex County	0.521	0.088	0.168	0.022	0.175	0.01	0.001	0.003	0.002	0.002	0	#N/A	0.004
	Franklin County	0.411	0.099	0.177	0.045	0.232	0.009	0.003	0.005	0.003	0.001	0.002	#N/A	0.01
	Hampden County	0.496	0.123	0.155	0.034	0.169	0.006	0.001	0.003	0.002	0.001	0.001	#N/A	0.005
	Hampshire County	0.458	0.111	0.166	0.031	0.209	0.007	0.001	0.004	0.002	0.002	0	#N/A	0.006
	Middlesex County	0.468	0.087	0.193	0.02	0.205	0.01	0.001	0.003	0.003	0.002	0	#N/A	0.005
	Nantucket County	0.494	0.102	0.18	0.028	0.152	0.018	0.001	0.005	0.007	0	0	#N/A	0.01
	Norfolk County	0.463	0.085	0.201	0.019	0.206	0.01	0.001	0.002	0.003	0.002	0	#N/A	0.005
	Plymouth County	0.537	0.093	0.158	0.025	0.162	0.011	0.001	0.003	0.003	0.002	0	#N/A	0.004
	Suffolk County	0.464	0.078	0.215	0.017	0.201	0.009	0.001	0.003	0.002	0.002	0.001	#N/A	0.005
	Worcester County	0.488	0.118	0.176	0.036	0.154	0.012	0.001	0.003	0.003	0.002	0	#N/A	0.006
Oklahoma	Adair County	0.316	0.332	0.247	0.072	0.014	0.004	0.006	0.003	0.003	0.001	0.001	0.001	#N/A
	Alfalfa County	0.294	0.368	0.239	0.059	0.016	0.007	0.008	0.004	0.003	0.002	0	0	#N/A
	Atoka County	0.374	0.362	0.14	0.082	0.024	0.003	0.012	0.001	0.001	0	0	0	#N/A
	Beaver County	0.246	0.48	0.132	0.094	0.02	0.006	0.011	0.005	0.003	0.001	0	0.002	#N/A
	Beckham County	0.305	0.412	0.188	0.058	0.026	0.004	0.002	0.003	0	0.001	0	0	#N/A
	Blaine County	0.312	0.368	0.209	0.068	0.02	0.009	0.002	0.006	0.001	0.003	0.003	0.001	#N/A
	Bryan County	0.311	0.44	0.117	0.091	0.024	0.002	0.005	0.005	0.001	0.001	0.001	0.001	#N/A
	Caddo County	0.291	0.422	0.179	0.072	0.02	0.006	0.005	0.001	0	0	0	0	#N/A
	Canadian County	0.277	0.362	0.26	0.061	0.027	0.004	0.002	0.004	0.001	0.002	0	0	#N/A
	Carter County	0.321	0.356	0.173	0.095	0.035	0.005	0.004	0.006	0.001	0.001	0.001	0.001	#N/A
	Cherokee County	0.276	0.32	0.264	0.093	0.028	0.003	0.008	0.005	0.001	0.001	0	0	#N/A
	Choctaw County	0.432	0.329	0.11	0.082	0.034	0.003	0.006	0.006	0	0	0	0	#N/A
	Cimarron County	0.257	0.422	0.139	0.135	0.025	0.004	0	0.017	0	0	0.002	0	#N/A
	Cleveland County	0.262	0.344	0.282	0.057	0.041	0.004	0.002	0.005	0.001	0.001	0.001	0.001	#N/A
	Coal County	0.397	0.335	0.14	0.07	0.016	0.012	0	0.008	0.008	0.016	0	0	#N/A
	Comanche County	0.29	0.417	0.173	0.063	0.039	0.006	0.003	0.004	0.001	0.001	0.001	0.001	#N/A
	Cotton County	0.238	0.524	0.126	0.074	0.02	0	0.007	0.007	0.003	0	0.002	0	#N/A
	Craig County	0.347	0.344	0.191	0.082	0.03	0.002	0.003	0.001	0	0	0	0	#N/A
	Creek County	0.323	0.37	0.207	0.062	0.024	0.004	0.003	0.004	0.001	0.001	0	0.001	#N/A
	Custer County	0.221	0.425	0.248	0.07	0.022	0.005	0.002	0.004	0.001	0.001	0.001	0	#N/A
	Delaware County	0.369	0.292	0.229	0.067	0.028	0.004	0.006	0.001	0.001	0.001	0.001	0.001	#N/A
	Dewey County	0.304	0.426	0.145	0.104	0.007	0.005	0.006	0.001	0.002	0	0	0	#N/A
	Ellis County	0.277	0.398	0.209	0.066	0.031	0.007	0.007	0.001	0.003	0.001	0	0	#N/A
	Garfield County	0.301	0.307	0.279	0.06	0.033	0.008	0.004	0.003	0.002	0.002	0.001	0	#N/A
	Garvin County	0.344	0.393	0.161	0.068	0.017	0.006	0.005	0.003	0.001	0.001	0	0	#N/A
	Grady County	0.297	0.394	0.217	0.058	0.021	0.005	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Grant County	0.335	0.318	0.236	0.065	0.029	0.004	0.004	0.004	0.001	0.001	0.002	0	#N/A
	Greer County	0.379	0.311	0.195	0.072	0.027	0	0	0.017	0	0	0	0	#N/A
	Harmon County	0.256	0.328	0.267	0.1	0.017	0.017	0.017	0	0	0	0	0	#N/A
	Harper County	0.281	0.418	0.191	0.069	0.012	0.007	0.01	0.009	0	0	0.001	0.001	#N/A
	Haskell County	0.369	0.393	0.147	0.073	0.015	0	0.001	0	0.001	0	0	0	#N/A
	Hughes County	0.355	0.416	0.151	0.045	0.021	0.005	0.003	0.001	0.001	0	0	0.001	#N/A
	Jackson County	0.319	0.372	0.184	0.076	0.04	0.002	0.004	0.001	0	0	0.001	0	#N/A
	Jefferson County	0.342	0.392	0.161	0.066	0.032	0	0	0.008	0	0	0	0	#N/A
	Johnston County	0.367	0.355	0.136	0.087	0.035	0.007	0.004	0.001	0.004	0.003	0	0	#N/A
	Kay County	0.3	0.341	0.248	0.056	0.034	0.005	0.006	0.004	0.002	0.001	0.002	0	#N/A
	Kingfisher County	0.306	0.341	0.261	0.053	0.021	0.009	0.002	0.004	0.002	0.001	0	0	#N/A
	Kiowa County	0.296	0.382	0.221	0.055	0.032	0.005	0.004	0.003	0	0.001	0.001	0.001	#N/A
	Latimer County	0.367	0.346	0.182	0.055	0.031	0.006	0.006	0	0	0.002	0.002	0.002	#N/A
	Le Flore County	0.311	0.425	0.167	0.064	0.017	0.002	0.007	0.006	0	0.001	0	0.001	#N/A
	Lincoln County	0.319	0.382	0.193	0.071	0.021	0.004	0.003	0.004	0.001	0.001	0.001	0	#N/A
	Logan County	0.289	0.363	0.246	0.058	0.031	0.003	0.002	0.004	0.001	0.001	0.001	0	#N/A
	Love County	0.422	0.342	0.145	0.063	0.023	0	0	0.006	0	0	0	0	#N/A
	Major County	0.253	0.429	0.213	0.056	0.024	0.011	0.004	0.005	0.005	0.001	0	0.001	#N/A
	Marshall County	0.408	0.302	0.173	0.086	0.021	0.003	0.003	0.003	0	0	0.001	0	#N/A
	Mayes County	0.353	0.325	0.212	0.078	0.021	0.002	0.003	0.002	0.001	0	0.001	0	#N/A
	Mcclain County	0.288	0.406	0.206	0.066	0.022	0.004	0.002	0.003	0.001	0.001	0	0	#N/A
	Mccurtain County	0.347	0.348	0.163	0.091	0.03	0.006	0.01	0.001	0.001	0.001	0.001	0	#N/A
	Mcintosh County	0.388	0.322	0.202	0.052	0.026	0.003	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Murray County	0.35	0.345	0.204	0.075	0.013	0.004	0.002	0.007	0	0	0	0	#N/A
	Muskogee County	0.294	0.31	0.287	0.068	0.029	0.003	0.004	0.003	0.001	0.001	0.001	0.001	#N/A
	Noble County	0.315	0.317	0.248	0.066	0.032	0.007	0.006	0.001	0.001	0.002	0.002	0.001	#N/A
	Nowata County	0.337	0.351	0.205	0.069	0.024	0.004	0.004	0.002	0.001	0	0.001	0.002	#N/A
	Okfuskee County	0.311	0.396	0.182	0.076	0.023	0.001	0.006	0	0.001	0	0.001	0.001	#N/A
	Oklahoma County	0.25	0.304	0.328	0.056	0.045	0.005	0.002	0.004	0.001	0.002	0.001	0.001	#N/A
	Okmulgee County	0.312	0.379	0.204	0.073	0.021	0.003	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Osage County	0.315	0.38	0.201	0.064	0.025	0.004	0.004	0.004	0.001	0.001	0.001	0.001	#N/A
	Ottawa County	0.317	0.347	0.19	0.086	0.04	0.005	0.006	0.004	0.002	0.003	0	0	#N/A
	Pawnee County	0.349	0.378	0.178	0.066	0.016	0.003	0.004	0.003	0.003	0.001	0.001	0.001	#N/A
	Payne County	0.259	0.292	0.311	0.07	0.047	0.007	0.003	0.004	0.002	0.003	0.001	0.001	#N/A
	Pittsburg County	0.374	0.288	0.212	0.073	0.033	0.005	0.007	0.004	0.002	0.001	0.001	0.001	#N/A
	Pontotoc County	0.282	0.324	0.244	0.102	0.032	0.005	0.006	0.003	0.001	0.001	0.001	0	#N/A
	Pottawatomie County	0.293	0.37	0.229	0.068	0.028	0.002	0.003	0.004	0.001	0.001	0.001	0.001	#N/A
	Pushmataha County	0.396	0.338	0.123	0.103	0.031	0.004	0.005	0	0	0	0	0	#N/A
	Roger Mills County	0.267	0.453	0.154	0.075	0.031	0.004	0.006	0.006	0.002	0	0	0	#N/A
	Rogers County	0.306	0.372	0.226	0.061	0.024	0.003	0.002	0.003	0.001	0.001	0.001	0.001	#N/A
	Seminole County	0.315	0.379	0.204	0.067	0.021	0.003	0.005	0.004	0.001	0	0.001	0.001	#N/A
	Sequoyah County	0.345	0.374	0.183	0.064	0.024	0.001	0.004	0.002	0.001	0.001	0.001	0.001	#N/A
	Stephens County	0.295	0.446	0.148	0.067	0.03	0.005	0.003	0.004	0.001	0.002	0	0	#N/A
	Texas County	0.295	0.394	0.152	0.114	0.022	0.01	0.005	0.004	0.002	0	0.001	0.001	#N/A
	Tillman County	0.285	0.413	0.192	0.068	0.029	0.006	0.004	0.003	0	0	0	0	#N/A
	Tulsa County	0.271	0.316	0.295	0.056	0.048	0.005	0.002	0.004	0.001	0.002	0.001	0	#N/A
	Wagoner County	0.301	0.387	0.22	0.06	0.023	0.003	0.002	0.002	0	0.001	0.001	0	#N/A
	Washington County	0.242	0.384	0.261	0.058	0.041	0.003	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Washita County	0.272	0.433	0.204	0.058	0.017	0.005	0.003	0.004	0.002	0	0.001	0.001	#N/A
	Woods County	0.305	0.361	0.228	0.065	0.025	0.006	0.004	0.003	0.001	0.001	0	0.002	#N/A
	Woodward County	0.34	0.376	0.179	0.063	0.028	0.004	0.005	0.003	0.001	0	0	0	#N/A
Tennessee	Anderson County	0.4	0.228	0.218	0.08	0.052	0.011	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Bedford County	0.488	0.262	0.13	0.075	0.032	0.006	0.002	0.001	0.001	0	0.001	0	#N/A
	Benton County	0.519	0.256	0.125	0.055	0.033	0.007	0.002	0.001	0	0	0	0	#N/A
	Bledsoe County	0.492	0.238	0.139	0.081	0.027	0.009	0.005	0.002	0.001	0	0.002	0.001	#N/A
	Blount County	0.377	0.223	0.239	0.081	0.055	0.013	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Bradley County	0.366	0.217	0.244	0.103	0.047	0.012	0.004	0.002	0.001	0.001	0.001	0	#N/A
	Campbell County	0.519	0.196	0.167	0.068	0.034	0.008	0.002	0.001	0.001	0.001	0.001	0	#N/A
	Cannon County	0.53	0.28	0.083	0.068	0.021	0.007	0.002	0.001	0.003	0.001	0.001	0	#N/A
	Carroll County	0.432	0.265	0.157	0.086	0.04	0.01	0.004	0.001	0.001	0	0.001	0.001	#N/A
	Carter County	0.444	0.245	0.183	0.073	0.033	0.011	0.005	0.001	0.002	0.001	0.001	0.001	#N/A
	Cheatham County	0.443	0.284	0.148	0.073	0.037	0.007	0.002	0.002	0	0	0.001	0	#N/A
	Chester County	0.412	0.262	0.152	0.128	0.025	0.011	0.004	0.001	0.001	0	0.001	0	#N/A
	Claiborne County	0.538	0.213	0.144	0.053	0.031	0.008	0.004	0.002	0.002	0.001	0	0.001	#N/A
	Clay County	0.571	0.171	0.139	0.063	0.035	0.007	0	0.006	0.003	0	0.001	0	#N/A
	Cocke County	0.531	0.215	0.127	0.059	0.034	0.014	0.008	0.002	0.002	0.001	0.001	0	#N/A
	Coffee County	0.425	0.265	0.158	0.085	0.047	0.009	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Crockett County	0.475	0.257	0.131	0.09	0.026	0.012	0.003	0.002	0.002	0	0	0	#N/A
	Cumberland County	0.432	0.257	0.165	0.066	0.056	0.013	0.003	0.002	0.002	0.001	0.001	0	#N/A
	Davidson County	0.31	0.22	0.293	0.066	0.088	0.015	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Decatur County	0.528	0.23	0.125	0.069	0.029	0.008	0.003	0.001	0.003	0.001	0.001	0	#N/A
	Dekalb County	0.507	0.245	0.141	0.072	0.036	0	0	0	0	0	0	0	#N/A
	Dickson County	0.438	0.283	0.148	0.083	0.032	0.008	0.002	0.001	0.001	0.001	0	0	#N/A
	Dyer County	0.472	0.249	0.16	0.071	0.027	0.013	0.004	0.001	0.001	0.001	0	0	#N/A
	Fayette County	0.396	0.347	0.154	0.059	0.029	0.006	0.004	0.002	0.001	0	0	0.001	#N/A
	Fentress County	0.486	0.308	0.111	0.05	0.025	0.008	0.006	0	0.001	0.001	0	0	#N/A
	Franklin County	0.48	0.226	0.148	0.087	0.041	0.008	0.003	0.001	0.001	0	0.001	0	#N/A
	Gibson County	0.417	0.277	0.147	0.111	0.032	0.007	0.002	0.002	0.002	0	0.001	0.001	#N/A
	Giles County	0.506	0.238	0.14	0.072	0.025	0.008	0.005	0.002	0.001	0.001	0.001	0	#N/A
	Grainger County	0.504	0.227	0.159	0.049	0.032	0.015	0.004	0.002	0.002	0.002	0.001	0	#N/A
	Greene County	0.454	0.232	0.167	0.078	0.04	0.015	0.004	0.003	0.002	0.001	0.001	0	#N/A
	Grundy County	0.558	0.234	0.081	0.086	0.018	0.01	0.004	0.001	0.002	0	0.001	0.001	#N/A
	Hamblen County	0.444	0.211	0.185	0.078	0.047	0.015	0.006	0.003	0.002	0.001	0	0.001	#N/A
	Hamilton County	0.329	0.187	0.279	0.098	0.071	0.011	0.002	0.012	0.003	0.001	0.004	0	#N/A
	Hancock County	0.49	0.236	0.17	0.045	0.036	0.016	0.001	0.002	0.001	0	0	0	#N/A
	Hardeman County	0.493	0.241	0.133	0.091	0.024	0.008	0.005	0	0.001	0.001	0.001	0	#N/A
	Hardin County	0.546	0.164	0.156	0.074	0.042	0.011	0.004	0	0.001	0.001	0.001	0	#N/A
	Hawkins County	0.483	0.224	0.159	0.062	0.039	0.015	0.008	0.002	0.001	0.001	0.001	0	#N/A
	Haywood County	0.407	0.316	0.149	0.07	0.037	0.011	0.004	0.001	0.003	0	0	0	#N/A
	Henderson County	0.463	0.243	0.144	0.092	0.036	0.012	0.004	0.002	0.001	0.001	0.001	0.001	#N/A
	Henry County	0.489	0.224	0.138	0.068	0.047	0.013	0.005	0.002	0.003	0.002	0	0	#N/A
	Hickman County	0.47	0.297	0.117	0.074	0.024	0.008	0.003	0.001	0.001	0.001	0.001	0.001	#N/A
	Houston County	0.512	0.226	0.156	0.066	0.025	0.006	0	0.001	0.002	0.003	0.001	0	#N/A
	Humphreys County	0.517	0.226	0.139	0.073	0.026	0.011	0.001	0.001	0	0.001	0.001	0	#N/A
	Jackson County	0.468	0.295	0.126	0.06	0.035	0.005	0.004	0.001	0.003	0	0	0	#N/A
	Jefferson County	0.449	0.223	0.175	0.074	0.045	0.018	0.004	0.002	0.001	0.002	0.001	0	#N/A
	Johnson County	0.46	0.261	0.159	0.06	0.036	0.01	0.005	0.002	0.002	0.001	0.001	0	#N/A
	Knox County	0.324	0.209	0.283	0.074	0.078	0.018	0.003	0.003	0.002	0.001	0.001	0.001	#N/A
	Lake County	0.562	0.216	0.124	0.078	0.012	0.002	0.002	0	0	0.002	0.002	0	#N/A
	Lauderdale County	0.477	0.274	0.131	0.069	0.027	0.009	0.005	0.001	0.004	0	0	0	#N/A
