		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Lawrence County	0.497	0.27	0.119	0.068	0.025	0.007	0.006	0.002	0.002	0	0.001	0	#N/A
	Lewis County	0.507	0.269	0.11	0.078	0.017	0.008	0.001	0.003	0.003	0.002	0	0.001	#N/A
	Lincoln County	0.483	0.229	0.155	0.089	0.029	0.008	0.001	0.002	0.001	0.001	0.001	0	#N/A
	Loudon County	0.402	0.211	0.221	0.064	0.075	0.014	0.004	0.002	0.002	0.002	0.001	0	#N/A
	Macon County	0.571	0.241	0.092	0.06	0.015	0.011	0.004	0.002	0.001	0.001	0	0	#N/A
	Madison County	0.342	0.296	0.209	0.091	0.042	0.01	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Marion County	0.504	0.193	0.164	0.076	0.04	0.009	0.003	0.002	0.002	0.002	0.001	0	#N/A
	Marshall County	0.486	0.26	0.132	0.077	0.033	0.004	0.003	0.003	0	0.001	0	0.001	#N/A
	Maury County	0.397	0.3	0.174	0.081	0.035	0.007	0.001	0.002	0	0.001	0.001	0	#N/A
	Mcminn County	0.421	0.234	0.181	0.087	0.045	0.016	0.004	0.002	0.002	0.001	0.001	0.001	#N/A
	Mcnairy County	0.485	0.208	0.155	0.103	0.029	0.007	0.007	0.003	0.002	0.001	0	0	#N/A
	Meigs County	0.52	0.184	0.159	0.067	0.045	0.008	0.008	0.003	0.003	0.001	0.001	0.001	#N/A
	Monroe County	0.477	0.21	0.156	0.072	0.037	0.024	0.007	0.004	0.003	0.001	0.001	0.001	#N/A
	Montgomery County	0.377	0.245	0.209	0.077	0.055	0.019	0.003	0.004	0.002	0.002	0.001	0.001	#N/A
	Moore County	0.469	0.275	0.107	0.102	0.036	0.005	0.001	0.002	0	0	0	0.001	#N/A
	Morgan County	0.482	0.271	0.134	0.069	0.025	0.01	0.001	0.002	0.002	0	0	0	#N/A
	Obion County	0.425	0.32	0.135	0.076	0.029	0.006	0.002	0.002	0.001	0.001	0.002	0	#N/A
	Overton County	0.471	0.277	0.136	0.067	0.026	0.007	0.003	0.003	0.002	0.001	0.001	0.001	#N/A
	Perry County	0.551	0.22	0.132	0.052	0.03	0.007	0.001	0.003	0.001	0.002	0	0	#N/A
	Pickett County	0.5	0.233	0.12	0.076	0.04	0.02	0.003	0.001	0	0	0	0	#N/A
	Polk County	0.527	0.22	0.139	0.07	0.032	0.004	0.004	0	0	0.001	0.001	0	#N/A
	Putnam County	0.394	0.276	0.178	0.094	0.044	0.007	0.003	0.001	0.001	0	0	0	#N/A
	Rhea County	0.441	0.212	0.192	0.084	0.037	0.017	0.005	0.002	0.002	0.001	0.001	0	#N/A
	Roane County	0.424	0.239	0.19	0.077	0.048	0.012	0.003	0.001	0.002	0.001	0.001	0	#N/A
	Robertson County	0.413	0.305	0.158	0.083	0.028	0.007	0.001	0.001	0.001	0	0	0	#N/A
	Rutherford County	0.359	0.298	0.2	0.083	0.041	0.01	0.002	0.003	0.001	0.001	0	0	#N/A
	Scott County	0.481	0.225	0.179	0.059	0.034	0.008	0.005	0.002	0	0.001	0.001	0	#N/A
	Sequatchie County	0.488	0.204	0.168	0.093	0.031	0.006	0.004	0.002	0.002	0	0	0	#N/A
	Sevier County	0.468	0.211	0.193	0.067	0.039	0.011	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Shelby County	0.299	0.285	0.264	0.059	0.075	0.009	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Smith County	0.48	0.293	0.107	0.079	0.022	0.008	0.004	0.002	0.001	0	0.001	0	#N/A
	Stewart County	0.496	0.23	0.157	0.068	0.033	0.008	0.002	0.002	0.002	0	0.001	0.001	#N/A
	Sullivan County	0.385	0.268	0.199	0.076	0.051	0.011	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Sumner County	0.369	0.288	0.196	0.087	0.045	0.008	0.002	0.002	0.001	0	0	0	#N/A
	Tipton County	0.43	0.32	0.147	0.063	0.027	0.005	0.003	0.001	0.002	0	0	0	#N/A
	Trousdale County	0.49	0.304	0.098	0.068	0.025	0.004	0.002	0.001	0.002	0.001	0	0.002	#N/A
	Unicoi County	0.505	0.188	0.171	0.066	0.036	0.014	0.006	0.002	0.001	0.002	0.001	0	#N/A
	Union County	0.54	0.22	0.139	0.061	0.023	0.004	0.005	0.003	0.002	0	0.001	0	#N/A
	Van Buren County	0.55	0.251	0.1	0.077	0.015	0.004	0	0	0	0	0	0	#N/A
	Warren County	0.471	0.245	0.164	0.073	0.029	0.009	0.002	0.001	0.002	0.001	0	0	#N/A
	Washington County	0.364	0.249	0.232	0.079	0.055	0.01	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Wayne County	0.528	0.242	0.119	0.072	0.023	0.01	0.003	0.001	0.001	0	0	0	#N/A
	Weakley County	0.412	0.283	0.162	0.089	0.033	0.009	0.004	0.002	0.002	0	0	0	#N/A
	White County	0.511	0.254	0.121	0.075	0.023	0.006	0.003	0.002	0.001	0	0.001	0	#N/A
	Williamson County	0.274	0.253	0.314	0.066	0.079	0.009	0.001	0.002	0.001	0.001	0	0	#N/A
	Wilson County	0.388	0.291	0.184	0.075	0.046	0.008	0.002	0.002	0.001	0	0.001	0	#N/A
Texas	Anderson County	0.286	0.534	0.095	0.044	0.017	0.008	0.002	0.001	0	0.001	0	0	0.01
	Andrews County	0.247	0.465	0.139	0.069	0.013	0.023	0.007	0.006	0.001	0	0	0	0.029
	Angelina County	0.269	0.507	0.119	0.044	0.026	0.01	0.003	0.002	0.012	0	0	0	0.008
	Aransas County	0.393	0.311	0.148	0.031	0.051	0.022	0.002	0.006	0.001	0.001	0	0	0.031
	Archer County	0.286	0.492	0.108	0.061	0.018	0.012	0.004	0.004	0.001	0.001	0.001	0	0.012
	Armstrong County	0.254	0.49	0.075	0.077	0.019	0.014	0.003	0.005	0.005	0	0	0.031	0.026
	Atascosa County	0.297	0.52	0.118	0.032	0.016	0.008	0	0.001	0.001	0	0	0.001	0.005
	Austin County	0.287	0.525	0.106	0.032	0.026	0.01	0.001	0.002	0	0.001	0	0	0.008
	Bailey County	0.245	0.519	0.129	0.066	0.02	0.009	0.002	0	0	0.002	0.001	0	0.007
	Bandera County	0.347	0.432	0.118	0.041	0.029	0.009	0.003	0.003	0.001	0.002	0	0.001	0.014
	Bastrop County	0.334	0.391	0.144	0.053	0.039	0.011	0.003	0.005	0.001	0.001	0.001	0	0.016
	Baylor County	0.307	0.429	0.116	0.072	0.022	0.018	0.005	0.007	0	0	0.001	0	0.023
	Bee County	0.259	0.5	0.141	0.033	0.021	0.02	0.003	0.003	0.001	0	0	0.001	0.017
	Bell County	0.258	0.445	0.154	0.053	0.039	0.019	0.003	0.004	0.002	0.002	0	0	0.021
	Bexar County	0.247	0.408	0.232	0.036	0.047	0.018	0.001	0.003	0.001	0.001	0	0	0.004
	Blanco County	0.295	0.458	0.137	0.037	0.033	0.012	0.003	0.004	0.001	0.001	0	0.001	0.018
	Borden County	0.294	0.529	0.097	0.045	0.01	0.006	0.01	0	0	0	0	0	0.01
	Bosque County	0.302	0.507	0.092	0.042	0.025	0.012	0.004	0.002	0.002	0.001	0.001	0	0.01
	Bowie County	0.307	0.43	0.127	0.057	0.029	0.01	0.013	0.002	0.001	0.001	0.001	0	0.021
	Brazoria County	0.255	0.51	0.142	0.034	0.029	0.009	0.002	0.005	0.001	0.001	0.001	0.001	0.009
	Brazos County	0.181	0.472	0.187	0.057	0.067	0.016	0.002	0.004	0.001	0.002	0	0.001	0.008
	Brewster County	0.301	0.386	0.17	0.052	0.027	0.015	0.002	0.01	0.002	0.002	0.001	0.001	0.014
	Briscoe County	0.242	0.537	0.077	0.04	0.044	0.009	0.024	0.004	0	0	0	0.002	0.018
	Brooks County	0.31	0.534	0.052	0.069	0.034	0	0	0	0	0	0	0	0
	Brown County	0.281	0.48	0.106	0.056	0.024	0.014	0.007	0.004	0.002	0.001	0.001	0.001	0.025
	Burleson County	0.298	0.517	0.078	0.04	0.022	0.01	0.003	0.002	0.001	0	0	0.001	0.027
	Burnet County	0.31	0.397	0.155	0.051	0.041	0.014	0.002	0.004	0.002	0.002	0	0	0.02
	Caldwell County	0.291	0.431	0.158	0.047	0.027	0.019	0.003	0.007	0.003	0.001	0	0	0.013
	Calhoun County	0.33	0.445	0.126	0.035	0.022	0.013	0.002	0.002	0.001	0.001	0.001	0.001	0.02
	Callahan County	0.304	0.497	0.085	0.042	0.023	0.016	0.005	0.001	0.001	0.001	0.001	0	0.023
	Cameron County	0.339	0.352	0.208	0.038	0.028	0.019	0.002	0.002	0.001	0.002	0	0.001	0.007
	Camp County	0.324	0.436	0.133	0.054	0.023	0.013	0.004	0.002	0.002	0.001	0	0	0.009
	Carson County	0.24	0.554	0.082	0.08	0.016	0.012	0.005	0.001	0.001	0.001	0.001	0.001	0.008
	Cass County	0.296	0.508	0.093	0.049	0.025	0.008	0.004	0.003	0.001	0.001	0.001	0	0.01
	Castro County	0.262	0.481	0.109	0.08	0.022	0.019	0.002	0	0.002	0.004	0	0	0.019
	Chambers County	0.288	0.534	0.087	0.032	0.026	0.006	0.002	0.002	0.001	0.007	0	0	0.015
	Cherokee County	0.275	0.534	0.09	0.048	0.024	0.011	0.002	0.002	0.001	0.001	0	0	0.013
	Childress County	0.29	0.451	0.124	0.06	0.017	0.007	0.004	0.003	0	0	0	0.035	0.009
	Clay County	0.289	0.488	0.103	0.06	0.025	0.01	0.002	0.002	0.002	0.001	0.001	0	0.017
	Cochran County	0.204	0.471	0.163	0.052	0.02	0.04	0.011	0.004	0.001	0.001	0.001	0.001	0.025
	Coke County	0.294	0.474	0.1	0.059	0.027	0.018	0.004	0	0	0.002	0.004	0.002	0.015
	Coleman County	0.296	0.505	0.091	0.055	0.015	0.013	0.005	0.002	0	0.001	0	0.001	0.013
	Collin County	0.256	0.396	0.233	0.035	0.059	0.009	0.001	0.002	0.001	0.001	0.001	0	0.006
	Collingsworth County	0.269	0.467	0.116	0.107	0.016	0.014	0.002	0.002	0.004	0	0	0	0.004
	Colorado County	0.287	0.52	0.125	0.027	0.026	0.006	0.001	0.002	0.001	0	0.001	0	0.006
	Comal County	0.262	0.452	0.177	0.041	0.036	0.012	0.002	0.002	0.001	0.001	0	0	0.013
	Comanche County	0.312	0.477	0.11	0.048	0.014	0.012	0.004	0.003	0.004	0.001	0	0.001	0.012
	Concho County	0.322	0.408	0.109	0.07	0.031	0.013	0.006	0.001	0.003	0.003	0.003	0	0.032
	Cooke County	0.308	0.474	0.113	0.045	0.029	0.012	0.002	0.003	0.001	0.001	0	0	0.013
	Coryell County	0.311	0.43	0.114	0.053	0.029	0.02	0.003	0.004	0.002	0.001	0.001	0.001	0.031
	Cottle County	0.27	0.56	0.047	0.053	0.013	0	0.007	0.003	0	0.003	0.003	0.037	0.003
	Crane County	0.241	0.453	0.164	0.049	0.011	0.045	0.003	0.006	0.002	0.001	0.001	0.001	0.023
	Crockett County	0.269	0.473	0.156	0.086	0	0.016	0	0	0	0	0	0	0
	Crosby County	0.259	0.497	0.121	0.072	0.031	0.006	0	0.001	0	0	0	0	0.013
	Culberson County	0.375	0.45	0.113	0.025	0.013	0	0	0.013	0	0	0	0	0.013
	Dallam County	0.304	0.467	0.106	0.067	0.016	0.013	0.007	0.002	0.001	0.001	0.002	0	0.012
	Dallas County	0.248	0.35	0.264	0.034	0.079	0.012	0.001	0.002	0.001	0.001	0	0.001	0.006
	Dawson County	0.239	0.437	0.176	0.055	0.022	0.024	0.006	0.002	0.001	0.002	0.002	0	0.033
	Deaf Smith County	0.219	0.513	0.155	0.051	0.039	0.01	0.005	0.002	0.004	0.001	0.001	0	0
	Delta County	0.359	0.441	0.106	0.047	0.019	0.012	0.002	0.001	0.001	0	0	0	0.012
	Denton County	0.254	0.411	0.219	0.042	0.05	0.011	0.001	0.003	0.001	0.001	0	0	0.007
	Dewitt County	0.312	0.492	0.102	0.03	0.022	0.015	0.001	0.003	0.002	0.001	0.001	0.001	0.019
	Dickens County	0.283	0.457	0.092	0.084	0.009	0.027	0.007	0.002	0	0.003	0	0.002	0.034
	Dimmit County	0.3	0.55	0.11	0.01	0.03	0	0	0	0	0	0	0	0
	Donley County	0.308	0.445	0.091	0.089	0.042	0.009	0.005	0.006	0	0	0.001	0	0.004
	Duval County	0.373	0.452	0.095	0.048	0.016	0.008	0	0	0	0	0	0	0.008
	Eastland County	0.271	0.575	0.088	0.034	0.013	0.008	0.005	0.001	0.001	0.001	0.001	0.001	0
	Ector County	0.281	0.457	0.144	0.053	0.018	0.019	0.005	0.003	0.002	0.001	0.001	0.001	0.016
	Edwards County	0.37	0.397	0.141	0.039	0.016	0.007	0.002	0.002	0.005	0	0.002	0.004	0.016
	El Paso County	0.253	0.38	0.257	0.044	0.037	0.013	0.001	0.003	0.001	0.002	0.001	0.001	0.006
	Ellis County	0.269	0.488	0.148	0.049	0.021	0.009	0.001	0.002	0.001	0.001	0.001	0	0.009
	Erath County	0.289	0.468	0.131	0.052	0.021	0.01	0.005	0.003	0.001	0.001	0	0	0.016
	Falls County	0.355	0.456	0.076	0.032	0.029	0.018	0.002	0.003	0.002	0.001	0	0	0.025
	Fannin County	0.317	0.489	0.096	0.044	0.022	0.008	0.002	0.002	0.001	0	0.003	0	0.016
	Fayette County	0.327	0.456	0.133	0.031	0.026	0.009	0.002	0.003	0	0.001	0	0	0.012
	Fisher County	0.246	0.538	0.107	0.058	0.021	0.011	0.009	0	0	0	0.002	0	0.009
	Floyd County	0.176	0.527	0.141	0.072	0.025	0.019	0.009	0.002	0.001	0.001	0.001	0.001	0.026
	Foard County	0.355	0.581	0	0.032	0	0	0	0	0	0	0	0	0.032
	Fort Bend County	0.247	0.458	0.195	0.03	0.048	0.01	0.001	0.002	0.001	0.001	0	0	0.006
	Franklin County	0.278	0.458	0.14	0.048	0.033	0.013	0.004	0.001	0.002	0.001	0	0.002	0.02
	Freestone County	0.319	0.457	0.09	0.062	0.018	0.018	0.003	0.002	0.001	0.002	0.001	0.001	0.027
	Frio County	0.303	0.535	0.084	0.051	0.011	0.005	0	0	0.005	0	0	0.003	0.003
	Gaines County	0.25	0.522	0.115	0.068	0.012	0.008	0.004	0.002	0.003	0	0	0	0.014
	Galveston County	0.304	0.444	0.153	0.031	0.037	0.012	0.001	0.003	0.001	0.001	0	0	0.011
	Garza County	0.219	0.562	0.087	0.064	0.021	0.017	0.008	0	0.003	0.001	0	0.003	0.016
	Gillespie County	0.266	0.42	0.185	0.042	0.047	0.013	0.003	0.004	0.002	0.001	0	0	0.016
	Glasscock County	0.206	0.502	0.164	0.075	0.027	0.002	0.01	0.002	0	0.002	0.002	0	0.005
	Goliad County	0.329	0.482	0.114	0.026	0.021	0.01	0	0.003	0.003	0.001	0.001	0	0.011
	Gonzales County	0.293	0.505	0.106	0.028	0.023	0.017	0.001	0.004	0.001	0	0.001	0	0.021
	Gray County	0.294	0.488	0.082	0.07	0.017	0.012	0.006	0.002	0.002	0	0.001	0.001	0.024
	Grayson County	0.294	0.414	0.135	0.052	0.035	0.013	0.005	0.003	0.002	0.001	0.001	0.001	0.016
	Gregg County	0.257	0.457	0.152	0.049	0.04	0.018	0.004	0.003	0.001	0.001	0	0	0.016
	Grimes County	0.317	0.498	0.098	0.035	0.019	0.012	0.002	0.002	0.001	0	0	0	0.015
	Guadalupe County	0.283	0.448	0.172	0.041	0.029	0.01	0.001	0.003	0.002	0.001	0	0	0.009
	Hale County	0.209	0.5	0.159	0.072	0.022	0.016	0.002	0	0.001	0.001	0	0	0.015
	Hall County	0.301	0.52	0.064	0.052	0.012	0.012	0.002	0.004	0	0	0.027	0	0.008
	Hamilton County	0.321	0.489	0.092	0.043	0.022	0.012	0.001	0.001	0.001	0.003	0	0.001	0.012
	Hansford County	0.244	0.524	0.116	0.053	0.022	0.017	0.006	0.002	0	0.002	0.001	0.001	0.012
	Hardeman County	0.327	0.425	0.1	0.06	0.022	0.029	0.007	0.006	0.003	0.001	0	0	0.02
	Hardin County	0.322	0.51	0.084	0.032	0.019	0.01	0.002	0.002	0.001	0.001	0	0	0.016
	Harris County	0.245	0.453	0.194	0.028	0.054	0.012	0.001	0.002	0.001	0.001	0	0	0.009
	Harrison County	0.299	0.481	0.115	0.042	0.029	0.013	0.006	0.002	0.001	0	0	0	0.011
	Hartley County	0.226	0.529	0.134	0.05	0.038	0.009	0	0.001	0.004	0.001	0	0	0.008
	Haskell County	0.259	0.506	0.101	0.099	0.021	0.006	0.004	0.001	0	0	0	0	0.002
	Hays County	0.246	0.408	0.214	0.047	0.048	0.013	0.002	0.008	0.001	0.002	0.001	0	0.009
	Hemphill County	0.279	0.421	0.146	0.058	0.038	0.018	0.002	0.002	0.002	0.001	0.001	0.002	0.03
	Henderson County	0.306	0.462	0.118	0.045	0.027	0.018	0.003	0.002	0.002	0.001	0.001	0	0.015
	Hidalgo County	0.296	0.381	0.223	0.041	0.022	0.018	0.001	0.004	0.001	0.002	0.001	0.001	0.009
	Hill County	0.325	0.449	0.104	0.046	0.023	0.022	0.002	0.002	0.006	0.001	0.001	0	0.019
	Hockley County	0.247	0.504	0.128	0.064	0.019	0.014	0.004	0.002	0	0.001	0	0	0.016
	Hood County	0.317	0.419	0.147	0.05	0.033	0.013	0.002	0.003	0.001	0.001	0.001	0	0.013
	Hopkins County	0.298	0.462	0.122	0.055	0.022	0.013	0.006	0.001	0	0.001	0.001	0	0.017
	Houston County	0.337	0.489	0.087	0.041	0.019	0.01	0.002	0.002	0.001	0.001	0.001	0	0.01
	Howard County	0.285	0.48	0.126	0.055	0.017	0.017	0.004	0.002	0.002	0	0.001	0	0.012
	Hudspeth County	0.39	0.364	0.133	0.056	0	0	0.01	0	0.046	0	0	0	0
	Hunt County	0.291	0.501	0.114	0.042	0.024	0.01	0.002	0.002	0.001	0	0	0	0.012
	Hutchinson County	0.277	0.474	0.098	0.054	0.018	0.016	0.006	0.005	0.002	0.001	0.002	0.023	0.024
	Irion County	0.22	0.552	0.14	0.061	0.017	0.005	0	0	0	0	0	0.002	0.002
	Jack County	0.338	0.495	0.092	0.031	0.009	0.008	0.001	0.002	0.001	0.001	0.002	0.001	0.019
	Jackson County	0.289	0.519	0.114	0.029	0.017	0.009	0.001	0.004	0	0	0	0	0.016
	Jasper County	0.346	0.508	0.072	0.036	0.016	0.008	0.002	0.001	0	0	0	0	0.01
	Jeff Davis County	0.278	0.444	0.143	0.069	0.023	0.015	0	0.002	0	0	0.004	0	0.021
	Jefferson County	0.314	0.481	0.123	0.036	0.026	0.008	0.001	0.002	0.001	0.001	0.001	0	0.006
	Jim Hogg County	0.357	0.476	0.143	0.024	0	0	0	0	0	0	0	0	0
	Jim Wells County	0.349	0.411	0.14	0.041	0.021	0.017	0.001	0.004	0.002	0	0	0	0.014
	Johnson County	0.288	0.478	0.123	0.06	0.019	0.01	0.002	0.002	0.001	0.001	0.001	0	0.016
	Jones County	0.285	0.485	0.093	0.049	0.027	0.017	0.005	0.002	0.005	0	0	0.012	0.016
	Karnes County	0.287	0.534	0.111	0.034	0.013	0.007	0.001	0	0.002	0.002	0	0	0.009
	Kaufman County	0.314	0.457	0.123	0.044	0.022	0.014	0.003	0.002	0.002	0.001	0.001	0	0.017
	Kendall County	0.247	0.431	0.181	0.047	0.04	0.014	0.001	0.005	0.001	0.002	0	0.018	0.012
	Kenedy County	0.105	0.421	0.263	0.105	0.053	0	0	0	0	0	0	0	0.053
	Kent County	0.323	0.518	0.071	0.08	0.009	0	0	0	0	0	0	0	0
	Kerr County	0.288	0.392	0.187	0.05	0.046	0.011	0.002	0.002	0.002	0.002	0	0	0.017
	Kimble County	0.358	0.408	0.139	0.058	0.021	0.005	0.002	0.002	0.001	0.001	0	0	0.004
	King County	0.339	0.374	0.043	0.148	0.043	0	0.017	0	0	0	0	0	0.035
	Kinney County	0.371	0.396	0.141	0.053	0.01	0.012	0	0.002	0.002	0.002	0.004	0	0.008
	Kleberg County	0.272	0.445	0.183	0.034	0.035	0.015	0.003	0.003	0.002	0	0	0.001	0.006
	Knox County	0.278	0.487	0.11	0.063	0.025	0.014	0.004	0.001	0.001	0.001	0	0	0.014
	La Salle County	0.382	0.419	0.156	0.027	0.003	0.003	0	0	0	0	0	0	0.01
	Lamar County	0.326	0.406	0.131	0.054	0.028	0.016	0.004	0.003	0.002	0.001	0.001	0.001	0.03
	Lamb County	0.242	0.443	0.146	0.097	0.016	0.023	0.001	0.006	0.002	0.001	0.002	0.001	0.018
	Lampasas County	0.323	0.442	0.12	0.051	0.033	0.015	0.002	0.003	0	0.001	0	0	0.011
	Lavaca County	0.293	0.53	0.089	0.024	0.02	0.004	0.001	0.003	0	0	0	0.026	0.007
	Lee County	0.35	0.447	0.104	0.041	0.025	0.01	0.002	0.002	0.002	0.001	0.001	0	0.015
	Leon County	0.328	0.501	0.072	0.039	0.016	0.003	0.003	0.001	0.001	0.001	0	0	0.008
	Liberty County	0.349	0.49	0.068	0.035	0.013	0.013	0.004	0.004	0.002	0.001	0.001	0	0.021
	Limestone County	0.347	0.447	0.095	0.058	0.019	0.013	0.002	0.002	0.001	0	0.001	0	0.013
	Lipscomb County	0.277	0.498	0.094	0.065	0.018	0.016	0.005	0.003	0	0.001	0.001	0	0.022
	Live Oak County	0.316	0.503	0.101	0.03	0.02	0.009	0.001	0.001	0.001	0.001	0	0	0.015
	Llano County	0.338	0.366	0.176	0.037	0.042	0.019	0.002	0.003	0.002	0.001	0.001	0.001	0.012
	Loving County	0.233	0.467	0.233	0.033	0	0.033	0	0	0	0	0	0	0
	Lubbock County	0.223	0.451	0.179	0.065	0.035	0.02	0.003	0.003	0.002	0.002	0.002	0	0.015
	Lynn County	0.213	0.491	0.132	0.067	0.02	0.015	0.003	0.001	0.001	0.003	0	0.003	0.051
	Madison County	0.316	0.493	0.091	0.045	0.018	0.014	0.003	0.002	0	0	0	0	0.017
	Marion County	0.406	0.418	0.086	0.051	0.017	0.009	0.004	0.001	0.001	0.001	0.001	0.001	0.007
	Martin County	0.218	0.551	0.141	0.055	0.012	0.01	0.002	0.001	0.001	0.001	0	0	0.007
	Mason County	0.249	0.527	0.118	0.042	0.033	0.007	0.003	0.005	0.002	0	0	0	0.013
	Matagorda County	0.338	0.485	0.118	0.029	0.019	0.005	0.001	0.002	0	0	0.001	0	0.003
	Maverick County	0.326	0.39	0.2	0.041	0.007	0.014	0	0	0	0	0.005	0	0.016
	Mcculloch County	0.318	0.436	0.124	0.045	0.024	0.015	0.005	0.004	0.001	0.001	0.001	0	0.025
	Mclennan County	0.247	0.46	0.152	0.054	0.051	0.017	0.003	0.002	0.002	0.001	0	0	0.011
	Mcmullen County	0.385	0.422	0.108	0.025	0.017	0.012	0	0	0	0	0.002	0.002	0.027
	Medina County	0.288	0.475	0.131	0.045	0.02	0.015	0.002	0.003	0.001	0.001	0.001	0	0.017
	Menard County	0.352	0.377	0.117	0.042	0.033	0.03	0.002	0.003	0	0	0.002	0.002	0.042
	Midland County	0.209	0.479	0.157	0.058	0.027	0.012	0.002	0.002	0.001	0.001	0	0	0.011
	Milam County	0.33	0.454	0.101	0.043	0.025	0.02	0.002	0.004	0.001	0.001	0.001	0	0.017
	Mills County	0.315	0.449	0.098	0.057	0.028	0.013	0.009	0.003	0.002	0	0.001	0.001	0.025
	Mitchell County	0.281	0.51	0.101	0.044	0.026	0.01	0.002	0.002	0.002	0	0	0.002	0.021
	Montague County	0.328	0.441	0.094	0.044	0.018	0.013	0.005	0.003	0.001	0	0.001	0.001	0.017
	Montgomery County	0.266	0.483	0.148	0.037	0.039	0.01	0.001	0.002	0.001	0.001	0	0	0.01
	Moore County	0.236	0.51	0.106	0.056	0.016	0.011	0.003	0.003	0.001	0.001	0.001	0.045	0.012
	Morris County	0.33	0.451	0.118	0.065	0.017	0.004	0.007	0.003	0.001	0.001	0	0	0.003
	Motley County	0.301	0.525	0.092	0.018	0.02	0.011	0	0	0.002	0	0	0	0.031
	Nacogdoches County	0.231	0.523	0.13	0.048	0.032	0.014	0.002	0.002	0.001	0	0	0.001	0.016
	Navarro County	0.302	0.423	0.127	0.045	0.026	0.017	0.003	0.003	0.002	0.001	0.001	0	0.013
	Newton County	0.387	0.483	0.06	0.038	0.011	0.006	0.002	0.003	0.002	0.001	0	0.001	0.007
	Nolan County	0.27	0.444	0.135	0.054	0.032	0.02	0.005	0.004	0.001	0.001	0	0.001	0.033
	Nueces County	0.302	0.394	0.181	0.037	0.054	0.014	0.001	0.004	0.001	0.001	0.001	0	0.01
